,Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,total_pop,perc_of_total_fatal,perc_of_total_serious,perc_of_total_minor,perc_of_total_uninjured,counter,fatality_perc,injury_perc,uninjured_perc
27,Bellanca,1.0,342.0,194.0,234.0,916.0,1686.0,0.6812613294555886,0.9075174252701479,0.8515903631996472,0.20729187646671438,1029,20.284697508896798,25.38552787663108,54.32977461447213
28,De havilland,2.0,119.0,68.0,73.0,1380.0,1640.0,0.23704707077548265,0.3180988913318053,0.2656670791178397,0.31229562175116365,114,7.2560975609756095,8.597560975609756,84.14634146341463
29,British aerospace,4.0,43.0,2.0,4.0,1192.0,1241.0,0.08565566422979622,0.009355849745053095,0.014557100225635054,0.26975100081694725,22,3.4649476228847704,0.4834810636583401,96.05157131345689
30,Airbus,4.0,0.0,0.0,0.0,1158.0,1158.0,0.0,0.0,0.0,0.26205676086075913,3,0.0,0.0,100.0
31,Fairchild,2.0,76.0,25.0,48.0,989.0,1138.0,0.15139140654568634,0.11694812181316369,0.17468520270762064,0.22381186225500066,82,6.6783831282952555,6.41476274165202,86.90685413005272
32,Mcdonnell douglas,4.0,177.0,2.0,11.0,917.0,1107.0,0.3525826178761379,0.009355849745053095,0.040032025620496396,0.20751817764189645,24,15.989159891598916,1.1743450767841013,82.83649503161699
33,Maule,1.0,99.0,63.0,96.0,787.0,1045.0,0.19720722694767046,0.29470926696917266,0.3493704054152413,0.17809902486823637,575,9.473684210526317,15.21531100478469,75.31100478468899
34,Boeing,0.0,52.0,0.0,11.0,962.0,1025.0,0.1035835939523117,0.0,0.040032025620496396,0.21770173052508662,15,5.073170731707317,1.0731707317073171,93.85365853658536
35,Aeronca,1.0,117.0,156.0,168.0,572.0,1013.0,0.23306308639270157,0.7297562801141406,0.6113982094766712,0.12944427220410648,637,11.549851924975322,31.98420533070089,56.4659427443238
36,"Bombardier, inc.",2.0,49.0,6.0,0.0,956.0,1011.0,0.09760761737813987,0.028067549235159285,0.0,0.2163439234739946,19,4.8466864490603365,0.5934718100890208,94.55984174085064
37,Canadair,2.0,12.0,13.0,9.0,949.0,983.0,0.023903906296687316,0.060813023342845114,0.03275347550767887,0.2147598152477206,44,1.2207527975584944,2.238046795523906,96.54120040691761
38,Champion,1.0,153.0,95.0,123.0,560.0,931.0,0.30477480528276346,0.4444028628900223,0.4476308319382779,0.12672865810192252,598,16.433941997851772,23.415682062298604,60.150375939849624
39,Swearingen,2.0,45.0,19.0,47.0,808.0,919.0,0.08963964861257744,0.08888057257800441,0.17104592765121188,0.18285134954705823,160,4.896626768226333,7.1817192600652895,87.92165397170838
40,De havilland,1.0,140.0,87.0,110.0,577.0,914.0,0.2788789067946856,0.4069794639098098,0.400320256204964,0.13057577808001575,257,15.317286652078774,21.553610503282275,63.12910284463895
41,Air tractor,1.0,133.0,103.0,130.0,529.0,895.0,0.264934961454952,0.4818262618702347,0.47310575733313925,0.11971332167128067,862,14.860335195530727,26.033519553072626,59.10614525139665
42,Boeing,1.0,51.0,70.0,108.0,655.0,884.0,0.1015916017609211,0.3274547410768585,0.39304170609214645,0.14822726974421224,423,5.769230769230769,20.13574660633484,74.09502262443439
43,Airbus industrie,4.0,0.0,6.0,45.0,784.0,835.0,0.0,0.028067549235159285,0.16376737753839435,0.17742012134269014,4,0.0,6.107784431137724,93.89221556886228
44,British aerospace,2.0,75.0,30.0,26.0,698.0,829.0,0.1493994143542957,0.14033774617579645,0.09462115146662785,0.15795822027703801,56,9.047044632086852,6.7551266586248495,84.1978287092883
45,Stinson,1.0,71.0,96.0,130.0,527.0,824.0,0.14143144558873327,0.44908078776254884,0.47310575733313925,0.11926071932091606,448,8.616504854368932,27.427184466019416,63.95631067961165
46,Aerospatiale,1.0,135.0,109.0,165.0,408.0,817.0,0.2689189458377323,0.5098938111053939,0.6004803843074453,0.09233087947425729,261,16.523867809057528,33.53733170134639,49.93880048959608
47,Short brothers,2.0,11.0,1.0,5.0,735.0,752.0,0.021911914105296706,0.0046779248725265475,0.018196375282043816,0.16633136375877197,32,1.4627659574468086,0.7978723404255319,97.73936170212765
48,Saab-scania ab (saab),2.0,1.0,8.0,4.0,733.0,746.0,0.0019919921913906097,0.03742339898021238,0.014557100225635054,0.16587876140840796,35,0.13404825737265416,1.6085790884718498,98.25737265415549
49,Luscombe,1.0,71.0,70.0,98.0,369.0,608.0,0.14143144558873333,0.3274547410768585,0.3566489555280588,0.08350513364215949,411,11.677631578947368,27.631578947368425,60.69078947368421
50,North american,1.0,169.0,48.0,65.0,320.0,602.0,0.33664668034501366,0.22454039388127436,0.23655287866656963,0.0724163760582411,346,28.07308970099668,18.77076411960133,53.156146179402
51,Schweizer,1.0,45.0,76.0,74.0,402.0,597.0,0.08963964861257744,0.3555222903120178,0.2693063541742485,0.09097307242316563,432,7.537688442211055,25.125628140703515,67.33668341708542
52,Taylorcraft,1.0,76.0,95.0,120.0,299.0,590.0,0.15139140654568634,0.4444028628900223,0.4367130067690516,0.06766405137941904,376,12.88135593220339,36.440677966101696,50.67796610169491
53,Grumman,2.0,110.0,36.0,58.0,379.0,583.0,0.2191191410529671,0.16840529541095572,0.21107795327170828,0.08576814539397912,102,18.867924528301888,16.123499142367066,65.00857632933105
54,Atr,2.0,68.0,4.0,22.0,448.0,542.0,0.13545546901456146,0.01871169949010619,0.08006405124099279,0.10138292648153724,19,12.546125461254611,4.797047970479705,82.65682656826569
55,Enstrom,1.0,44.0,50.0,79.0,364.0,537.0,0.08764765642118683,0.2338962436263275,0.2875027294562923,0.08237362776624929,287,8.193668528864059,24.022346368715084,67.78398510242086
56,Aero commander,2.0,146.0,50.0,41.0,287.0,524.0,0.2908308599430291,0.2338962436263275,0.1492102773127593,0.06494843727723487,187,27.86259541984733,17.36641221374046,54.770992366412216
57,Eurocopter,1.0,131.0,59.0,74.0,259.0,523.0,0.2609509770721699,0.2759975674790664,0.2693063541742485,0.058612004372138746,178,25.04780114722753,25.430210325047803,49.521988527724666
58,Bell,2.0,77.0,41.0,69.0,318.0,505.0,0.15338339873707693,0.19179491977358842,0.25110997889220465,0.07196377370787695,140,15.247524752475247,21.782178217821784,62.97029702970297
59,Airbus industrie,0.0,87.0,7.0,11.0,376.0,481.0,0.17330332065098306,0.03274547410768583,0.040032025620496396,0.08508924186843302,3,18.08731808731809,3.7422037422037424,78.17047817047818
60,Hiller,1.0,28.0,63.0,76.0,300.0,467.0,0.05577578135893707,0.29470926696917266,0.276584904287066,0.06789035255460109,340,5.995717344753747,29.764453961456105,64.23982869379014
61,Learjet,2.0,100.0,12.0,37.0,293.0,442.0,0.1991992191390609,0.05613509847031857,0.13465317708712424,0.0663062443283268,105,22.624434389140273,11.085972850678733,66.289592760181
62,Sikorsky,2.0,77.0,57.0,72.0,233.0,439.0,0.15338339873707693,0.26664171773401324,0.26202780406143095,0.052728173817406625,108,17.539863325740317,29.38496583143508,53.075170842824605
63,Cirrus design corp,1.0,123.0,57.0,35.0,224.0,439.0,0.24501503954104514,0.26664171773401335,0.1273746269743067,0.05069146324076866,221,28.018223234624145,20.956719817767656,51.025056947608206
64,Unknown,1.0,13.0,7.0,5.0,376.0,401.0,0.025895898488077926,0.03274547410768583,0.018196375282043816,0.08508924186843304,25,3.2418952618453867,2.9925187032418954,93.76558603491272
65,Mitsubishi,2.0,157.0,15.0,26.0,199.0,397.0,0.31274277404832584,0.07016887308789822,0.09462115146662785,0.04503393386121856,137,39.54659949622166,10.327455919395465,50.12594458438288
66,Convair,2.0,43.0,33.0,21.0,293.0,390.0,0.08565566422979622,0.15437152079337607,0.07642477618458403,0.06630624432832682,37,11.025641025641026,13.846153846153847,75.12820512820512
67,Rockwell,1.0,105.0,30.0,57.0,198.0,390.0,0.20915918009601409,0.1403377461757965,0.20743867821529952,0.04480763268603666,259,26.923076923076923,22.30769230769231,50.76923076923077
68,Dornier,2.0,0.0,2.0,2.0,386.0,390.0,0.0,0.009355849745053095,0.007278550112817527,0.08735225362025303,20,0.0,1.0256410256410255,98.97435897435898
69,Mcdonnell-douglas,3.0,0.0,1.0,14.0,361.0,376.0,0.0,0.0046779248725265475,0.05094985078972268,0.08169472424070297,3,0.0,3.9893617021276597,96.01063829787235
70,Gates learjet,2.0,47.0,19.0,24.0,280.0,370.0,0.09362363299535865,0.08888057257800441,0.08734260135381032,0.06336432905096077,62,12.702702702702704,11.621621621621623,75.67567567567568
71,Mcdonnell douglas,1.0,46.0,51.0,60.0,174.0,331.0,0.09163164080396805,0.23857416849885404,0.2183565033845258,0.03937640448166847,141,13.897280966767372,33.53474320241692,52.567975830815705
72,Lockheed,4.0,120.0,3.0,4.0,194.0,321.0,0.2390390629668732,0.014033774617579643,0.014557100225635054,0.043902427985308544,36,37.38317757009346,2.1806853582554515,60.43613707165109
73,Dehavilland,1.0,59.0,35.0,32.0,194.0,320.0,0.11752753929204597,0.1637273705384292,0.11645680180508043,0.04390242798530854,85,18.4375,20.9375,60.62499999999999
74,Aero commander,1.0,48.0,38.0,51.0,171.0,308.0,0.09561562518674926,0.17776114515600888,0.18560302787684693,0.03869750095612248,217,15.584415584415584,28.8961038961039,55.519480519480524
75,Lake,1.0,39.0,48.0,51.0,158.0,296.0,0.07768769546423378,0.2245403938812744,0.18560302787684693,0.035755585678756426,142,13.175675675675674,33.44594594594595,53.37837837837838
76,Fairchild swearingen,2.0,1.0,1.0,2.0,289.0,293.0,0.0019919921913906097,0.0046779248725265475,0.007278550112817527,0.0654010396275988,10,0.3412969283276451,1.023890784982935,98.63481228668942
77,Waco,1.0,13.0,16.0,47.0,212.0,288.0,0.025895898488077926,0.07484679796042476,0.17104592765121188,0.047975849138584624,141,4.513888888888888,21.875,73.61111111111111
78,Schweizer,0.0,20.0,62.0,37.0,169.0,288.0,0.039839843827812194,0.2900313420966461,0.13465317708712424,0.03824489860575847,212,6.944444444444445,34.375,58.68055555555556
79,Saab,2.0,1.0,3.0,3.0,266.0,273.0,0.0019919921913906097,0.014033774617579643,0.01091782516922629,0.06019611259841272,10,0.3663003663003663,2.197802197802198,97.43589743589743
80,Socata,1.0,90.0,19.0,37.0,116.0,262.0,0.17927929722515484,0.08888057257800441,0.13465317708712424,0.0262509363211123,111,34.35114503816794,21.374045801526716,44.274809160305345
81,Ilyushin,4.0,0.0,0.0,1.0,249.0,250.0,0.0,0.0,0.0036392750564087635,0.05634899262031868,1,0.0,0.4,99.6
82,Rockwell,2.0,70.0,11.0,13.0,155.0,249.0,0.1394394533973427,0.05145717359779202,0.047310575733313924,0.03507668215321041,79,28.11244979919679,9.63855421686747,62.24899598393574
83,Ercoupe (eng & research corp.),1.0,42.0,22.0,54.0,130.0,248.0,0.0836636720384056,0.10291434719558407,0.19652085304607322,0.02941915277366033,160,16.93548387096774,30.64516129032258,52.41935483870967
84,De havilland,4.0,0.0,3.0,5.0,237.0,245.0,0.0,0.014033774617579643,0.018196375282043816,0.05363337851813464,13,0.0,3.2653061224489797,96.73469387755102
85,Helio,1.0,16.0,14.0,13.0,199.0,242.0,0.031871875062249755,0.06549094821537167,0.047310575733313924,0.04503393386121858,110,6.6115702479338845,11.15702479338843,82.23140495867769
86,Ayres,1.0,40.0,22.0,33.0,143.0,238.0,0.07967968765562439,0.1029143471955841,0.1200960768614892,0.03236106805102638,224,16.80672268907563,23.10924369747899,60.08403361344538
87,Embraer s a,2.0,0.0,4.0,3.0,218.0,225.0,0.0,0.01871169949010619,0.01091782516922629,0.04933365618967659,7,0.0,3.111111111111111,96.88888888888889
88,Gulfstream,2.0,44.0,9.0,12.0,158.0,223.0,0.08764765642118683,0.04210132385273893,0.04367130067690516,0.03575558567875642,47,19.730941704035875,9.417040358744394,70.85201793721974
89,Ryan,1.0,37.0,36.0,56.0,93.0,222.0,0.07370371108145256,0.16840529541095578,0.20379940315889075,0.02104600929192624,110,16.666666666666664,41.44144144144144,41.891891891891895
90,British aircraft corp. (bac),2.0,0.0,1.0,8.0,210.0,219.0,0.0,0.0046779248725265475,0.029114200451270108,0.04752324678822057,4,0.0,4.10958904109589,95.8904109589041
91,Cirrus,1.0,63.0,32.0,11.0,113.0,219.0,0.1254955080576084,0.14969359592084958,0.040032025620496396,0.02557203279556629,108,28.767123287671232,19.63470319634703,51.598173515981735
92,Aviat,1.0,21.0,23.0,22.0,147.0,213.0,0.0418318360192028,0.10759227206811062,0.08006405124099279,0.03326627275175438,138,9.859154929577464,21.12676056338028,69.01408450704226
93,Douglas,1.0,7.0,3.0,0.0,201.0,211.0,0.013943945339734268,0.014033774617579643,0.0,0.045486536211582544,10,3.3175355450236967,1.4218009478672986,95.260663507109
94,Pitts,1.0,36.0,24.0,33.0,115.0,208.0,0.07171171889006195,0.11227019694063717,0.1200960768614892,0.026024635145930293,148,17.307692307692307,27.403846153846157,55.28846153846154
95,Mbb,2.0,57.0,19.0,27.0,85.0,188.0,0.11354355490926475,0.0888805725780044,0.09826042652303661,0.01923559989047022,64,30.319148936170215,24.46808510638298,45.21276595744681
96,Northrop,2.0,4.0,0.0,1.0,181.0,186.0,0.007967968765562439,0.0,0.0036392750564087635,0.0409605127079425,4,2.1505376344086025,0.5376344086021506,97.31182795698925
97,Cessna,0.0,14.0,12.0,8.0,142.0,176.0,0.027887890679468536,0.05613509847031857,0.029114200451270108,0.032134766875844385,38,7.954545454545454,11.363636363636363,80.68181818181817
98,Balloon works,0.0,3.0,35.0,27.0,99.0,164.0,0.005975976574171829,0.1637273705384292,0.09826042652303661,0.02240381634301826,52,1.8292682926829267,37.80487804878049,60.36585365853659
99,Raven,0.0,3.0,42.0,17.0,97.0,159.0,0.005975976574171829,0.19647284464611509,0.06186767595894898,0.021951213992654255,48,1.8867924528301887,37.10691823899371,61.0062893081761
100,Mcdonnell douglas,0.0,6.0,4.0,4.0,141.0,155.0,0.011951953148343658,0.01871169949010619,0.014557100225635054,0.031908465700662386,12,3.870967741935484,5.161290322580645,90.96774193548387
101,Pilatus,1.0,51.0,5.0,16.0,83.0,155.0,0.1015916017609211,0.023389624362632738,0.058228400902540216,0.018782997540106226,42,32.903225806451616,13.548387096774196,53.5483870967742
102,Vans,1.0,45.0,33.0,23.0,54.0,155.0,0.08963964861257744,0.15437152079337613,0.08370332629740156,0.01222026345982814,104,29.03225806451613,36.12903225806451,34.83870967741935
103,Ltv,1.0,0.0,0.0,0.0,152.0,152.0,0.0,0.0,0.0,0.03439777862766441,1,0.0,0.0,100.0
104,Globe,1.0,26.0,21.0,22.0,83.0,152.0,0.05179179697615585,0.09823642232305754,0.08006405124099279,0.018782997540106216,96,17.105263157894736,28.289473684210524,54.60526315789473
105,Embraer-empresa brasileira de,2.0,0.0,0.0,5.0,146.0,151.0,0.0,0.0,0.018196375282043816,0.033039971576572395,5,0.0,3.3112582781456954,96.68874172185431
106,Cirrus design corp.,1.0,42.0,19.0,22.0,66.0,149.0,0.0836636720384056,0.08888057257800443,0.08006405124099279,0.014935877562012171,66,28.187919463087248,27.516778523489933,44.29530201342282
107,Casa,2.0,25.0,8.0,12.0,101.0,146.0,0.04979980478476524,0.03742339898021238,0.04367130067690516,0.022856418693382275,15,17.123287671232877,13.698630136986301,69.17808219178082
108,Israel aircraft industries,2.0,29.0,6.0,2.0,109.0,146.0,0.05776777355032768,0.028067549235159285,0.007278550112817527,0.02466682809483829,28,19.863013698630137,5.47945205479452,74.65753424657534
109,Gulfstream aerospace,2.0,17.0,12.0,1.0,114.0,144.0,0.033863867253640365,0.05613509847031857,0.0036392750564087635,0.025798333970748304,23,11.805555555555555,9.027777777777777,79.16666666666666
110,Britten-norman,2.0,28.0,12.0,15.0,89.0,144.0,0.05577578135893707,0.05613509847031857,0.05458912584613145,0.020140804591198234,31,19.444444444444446,18.75,61.80555555555556
111,Nihon,2.0,2.0,1.0,6.0,127.0,136.0,0.003983984382781219,0.0046779248725265475,0.02183565033845258,0.028740249248114344,8,1.4705882352941175,5.147058823529411,93.38235294117648
112,Mcdonald douglas,3.0,0.0,0.0,0.0,136.0,136.0,0.0,0.0,0.0,0.030776959824752367,1,0.0,0.0,100.0
113,Navion,1.0,20.0,29.0,27.0,59.0,135.0,0.039839843827812194,0.1356598213032699,0.09826042652303661,0.013351769335738152,76,14.814814814814813,41.48148148148148,43.7037037037037
114,American,1.0,18.0,25.0,37.0,47.0,127.0,0.035855859445030974,0.11694812181316372,0.13465317708712424,0.010636155233554122,75,14.173228346456693,48.818897637795274,37.00787401574803
115,Raytheon aircraft company,2.0,22.0,7.0,3.0,93.0,125.0,0.04382382821059341,0.03274547410768583,0.01091782516922629,0.021046009291926245,32,17.599999999999998,8.0,74.4
116,Eurocopter france,1.0,22.0,5.0,13.0,84.0,124.0,0.04382382821059341,0.023389624362632738,0.047310575733313924,0.019009298715288222,39,17.741935483870968,14.516129032258066,67.74193548387096
117,Dehavilland,2.0,4.0,1.0,1.0,115.0,121.0,0.007967968765562439,0.0046779248725265475,0.0036392750564087635,0.02602463514593031,15,3.3057851239669422,1.6528925619834711,95.0413223140496
118,Piper,0.0,20.0,4.0,18.0,79.0,121.0,0.039839843827812194,0.01871169949010619,0.06550695101535774,0.017877792839378213,47,16.528925619834713,18.181818181818183,65.28925619834712
119,Aerostar,0.0,5.0,20.0,29.0,66.0,120.0,0.009959960956953048,0.09355849745053099,0.10553897663585414,0.014935877562012175,27,4.166666666666666,40.833333333333336,55.00000000000001
120,Ercoupe,1.0,16.0,25.0,24.0,55.0,120.0,0.031871875062249755,0.1169481218131637,0.08734260135381032,0.012446564635010142,82,13.333333333333334,40.833333333333336,45.83333333333333
121,Agusta,2.0,36.0,4.0,14.0,62.0,116.0,0.07171171889006195,0.01871169949010619,0.05094985078972269,0.014030672861284165,40,31.03448275862069,15.517241379310345,53.44827586206896
122,Schleicher,0.0,18.0,18.0,19.0,60.0,115.0,0.035855859445030974,0.08420264770547788,0.0691462260717665,0.013578070510920155,91,15.65217391304348,32.17391304347826,52.17391304347826
123,Hawker siddeley,2.0,31.0,7.0,11.0,66.0,115.0,0.0617517579331089,0.03274547410768583,0.040032025620496396,0.014935877562012178,22,26.956521739130434,15.65217391304348,57.391304347826086
124,Aviat aircraft inc,1.0,7.0,15.0,5.0,85.0,112.0,0.013943945339734268,0.07016887308789821,0.018196375282043816,0.019235599890470217,76,6.25,17.857142857142858,75.89285714285714
125,Saab-fairchild,2.0,0.0,0.0,3.0,109.0,112.0,0.0,0.0,0.01091782516922629,0.024666828094838292,6,0.0,2.6785714285714284,97.32142857142857
126,Diamond aircraft ind inc,1.0,16.0,12.0,11.0,71.0,110.0,0.031871875062249755,0.05613509847031858,0.040032025620496396,0.016067383437922182,67,14.545454545454545,20.909090909090907,64.54545454545455
127,Airbus industries,2.0,0.0,0.0,0.0,109.0,109.0,0.0,0.0,0.0,0.024666828094838295,1,0.0,0.0,100.0
128,Fairchild dornier,2.0,0.0,0.0,0.0,106.0,106.0,0.0,0.0,0.0,0.023987924569292288,3,0.0,0.0,100.0
129,Bae,4.0,6.0,0.0,0.0,97.0,103.0,0.011951953148343658,0.0,0.0,0.021951213992654265,4,5.825242718446602,0.0,94.1747572815534
130,Fairchild,1.0,14.0,20.0,17.0,51.0,102.0,0.027887890679468536,0.09355849745053096,0.06186767595894898,0.011541359934282132,60,13.725490196078432,36.27450980392157,50.0
131,Great lakes,1.0,11.0,8.0,7.0,73.0,99.0,0.021911914105296706,0.03742339898021238,0.025474925394861344,0.016519985788286187,63,11.11111111111111,15.151515151515152,73.73737373737373
132,Raytheon aircraft company,1.0,30.0,21.0,9.0,37.0,97.0,0.05975976574171829,0.0982364223230575,0.03275347550767887,0.0083731434817341,35,30.927835051546392,30.927835051546392,38.144329896907216
133,North american,2.0,6.0,3.0,2.0,86.0,97.0,0.011951953148343658,0.014033774617579643,0.007278550112817527,0.01946190106565223,23,6.185567010309279,5.154639175257731,88.65979381443299
134,Let,0.0,2.0,14.0,14.0,67.0,97.0,0.003983984382781219,0.06549094821537169,0.05094985078972269,0.015162178737194172,64,2.0618556701030926,28.865979381443296,69.0721649484536
135,"Smith, ted aerostar",2.0,31.0,2.0,10.0,53.0,96.0,0.0617517579331089,0.009355849745053095,0.03639275056408763,0.01199396228464614,48,32.29166666666667,12.5,55.208333333333336
136,Wsk pzl mielec,1.0,17.0,9.0,19.0,48.0,93.0,0.033863867253640365,0.04210132385273893,0.0691462260717665,0.010862456408736123,88,18.27956989247312,30.107526881720432,51.61290322580645
137,Sikorsky,1.0,6.0,14.0,12.0,60.0,92.0,0.011951953148343658,0.06549094821537167,0.04367130067690516,0.013578070510920156,60,6.521739130434782,28.26086956521739,65.21739130434783
138,Weatherly,1.0,9.0,7.0,15.0,60.0,91.0,0.017927929722515487,0.03274547410768583,0.05458912584613145,0.013578070510920155,90,9.89010989010989,24.175824175824175,65.93406593406593
139,Gulfstream american,1.0,23.0,9.0,18.0,41.0,91.0,0.04581582040198402,0.04210132385273893,0.06550695101535774,0.009278348182462108,46,25.274725274725274,29.67032967032967,45.05494505494506
140,Tupolev,3.0,89.0,0.0,0.0,0.0,89.0,0.17728730503376425,0.0,0.0,0.0,1,100.0,0.0,0.0
141,Saab-scania,2.0,0.0,1.0,1.0,85.0,87.0,0.0,0.0046779248725265475,0.0036392750564087635,0.01923559989047023,3,0.0,2.2988505747126435,97.70114942528735
142,Cameron balloons,0.0,1.0,14.0,13.0,58.0,86.0,0.0019919921913906097,0.06549094821537169,0.047310575733313924,0.013125468160556156,17,1.1627906976744187,31.3953488372093,67.44186046511628
143,Fairchild hiller,1.0,30.0,15.0,7.0,34.0,86.0,0.05975976574171829,0.07016887308789822,0.025474925394861344,0.007694239956188091,36,34.883720930232556,25.581395348837212,39.53488372093023
144,Rotorway,1.0,7.0,10.0,11.0,58.0,86.0,0.013943945339734268,0.04677924872526548,0.040032025620496396,0.01312546816055615,63,8.13953488372093,24.418604651162788,67.44186046511628
145,Christen industries,1.0,21.0,8.0,8.0,49.0,86.0,0.0418318360192028,0.03742339898021238,0.029114200451270108,0.011088757583918127,52,24.418604651162788,18.6046511627907,56.97674418604651
146,Lockheed,2.0,35.0,9.0,7.0,33.0,84.0,0.06971972669867134,0.04210132385273893,0.025474925394861344,0.007467938781006088,22,41.66666666666667,19.047619047619047,39.285714285714285
