,Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,total_pop,perc_of_total_fatal,perc_of_total_serious,perc_of_total_minor,perc_of_total_uninjured,counter,fatality_perc,injury_perc,uninjured_perc
0,Boeing,2.0,1482.0,996.0,1014.0,96076.0,99568.0,2.9521324276408847,4.659213173036434,3.6902249071985014,21.742111706786098,912,1.4884300176763618,2.0187208741764424,96.4928491081472
1,Cessna,1.0,6453.0,4070.0,6006.0,28784.0,45313.0,12.854325611043947,19.039154231182703,21.857485988790863,6.5138530264401915,23905,14.240946306799373,22.236444287511308,63.52260940568931
2,Boeing,4.0,998.0,199.0,374.0,34599.0,36170.0,1.9880082070078284,0.9309070496327821,1.3610888710968765,7.829794360122103,227,2.759192701133536,1.5841857893281723,95.65662150953828
3,Boeing,3.0,514.0,124.0,342.0,24203.0,25183.0,1.0238839863747733,0.5800626841932918,1.2446320692917963,5.477167342930008,264,2.041059444863598,1.8504546718024064,96.108485883334
4,Piper,1.0,4590.0,2616.0,3133.0,13802.0,24141.0,9.143244158483123,12.237451466529071,11.401848751728766,3.123408819862096,12284,19.013296880825152,23.81425790149538,57.17244521767947
5,Mcdonnell douglas,2.0,310.0,132.0,398.0,21904.0,22744.0,0.6175175793310889,0.6174860831735037,1.4484314724506866,4.956900941186584,237,1.362996834329933,2.330284910306015,96.30671825536406
6,Mcdonnell douglas,3.0,118.0,160.0,533.0,16986.0,17797.0,0.23505507858409197,0.7484679796042472,1.9397336050658704,3.8439517616414984,127,0.6630330954655279,3.893914704725516,95.44305219980896
7,Airbus industrie,2.0,417.0,48.0,323.0,16677.0,17465.0,0.8306607438098843,0.2245403938812744,1.1754858432200297,3.77402469851026,115,2.3876324076724877,2.124248496993988,95.48811909533353
8,Airbus,2.0,664.0,120.0,86.0,15304.0,16174.0,1.3226828150833647,0.5613509847031857,0.31297765485115364,3.4633131849853696,167,4.105354272288859,1.2736490664028688,94.62099666130828
9,Lockheed,3.0,136.0,33.0,187.0,7687.0,8043.0,0.27091093802912297,0.15437152079337607,0.6805444355484388,1.7395771336240549,40,1.6909113514857639,2.735297774462265,95.57379087405197
10,Cessna,2.0,1643.0,470.0,553.0,4661.0,7327.0,3.272843170454787,2.198624690087477,2.0125191061940364,1.0547897775233093,2304,22.423911559983623,13.962058141121878,63.6140302988945
11,Beech,2.0,1614.0,349.0,470.0,4338.0,6771.0,3.2150753969044636,1.6325957805117628,1.7104592765121092,0.981694497939524,2024,23.836951705804164,12.095702259636685,64.06734603455915
12,Beech,1.0,1717.0,702.0,837.0,3343.0,6599.0,3.4202505926177142,3.283903260513649,3.0460732222141447,0.7565248286334312,3147,26.019093802091227,23.321715411425973,50.659190786482796
13,Piper,2.0,1495.0,380.0,522.0,3637.0,6034.0,2.9780283261289755,1.777611451560088,1.8997015794453636,0.8230573741369417,2142,24.77626781571097,14.948624461385482,60.27510772290354
14,Embraer,2.0,291.0,76.0,79.0,4894.0,5340.0,0.5796697276946674,0.35552229031201765,0.2875027294562923,1.1075179513407212,167,5.44943820224719,2.902621722846442,91.64794007490636
15,Douglas,2.0,329.0,56.0,94.0,4653.0,5132.0,0.6553654309675108,0.26196379286148674,0.34209185530242375,1.052979368121859,138,6.410756040530008,2.922837100545596,90.6664068589244
16,Bell,1.0,859.0,715.0,929.0,2591.0,5094.0,1.711121292404535,3.3447162838564966,3.380886527403751,0.5863463448965684,2378,16.862976050255202,32.27326266195524,50.86376128778956
17,Robinson,1.0,475.0,334.0,362.0,1539.0,2710.0,0.9461962909105391,1.5624269074238657,1.3174175704199653,0.34827750860510315,1469,17.52767527675277,25.682656826568266,56.789667896678964
18,Fokker,2.0,27.0,16.0,42.0,2582.0,2667.0,0.05378378916754646,0.07484679796042477,0.15284955236916806,0.5843096343199311,44,1.0123734533183353,2.1747281589801273,96.81289838770154
19,Mooney,1.0,668.0,250.0,395.0,1320.0,2633.0,1.3306507838489268,1.1694812181316345,1.437513647281453,0.2987175512402433,1351,25.370300037979494,24.49677174325864,50.132928218761876
20,Bombardier inc,2.0,55.0,15.0,11.0,2357.0,2438.0,0.10955957052648353,0.07016887308789821,0.040032025620496396,0.5333918699039805,62,2.2559474979491387,1.0664479081214109,96.67760459392944
21,Aerospatiale,2.0,71.0,34.0,39.0,2092.0,2236.0,0.1414314455887333,0.15904944566590265,0.14193172719994177,0.4734220584807498,103,3.1753130590339893,3.264758497316637,93.55992844364937
22,Grumman,1.0,259.0,198.0,352.0,1204.0,2013.0,0.5159259775701688,0.9262291247602531,1.2810248198558767,0.2724666149191293,1517,12.866368604073521,27.322404371584703,59.811227024341775
23,Douglas,3.0,0.0,8.0,86.0,1855.0,1949.0,0.0,0.03742339898021238,0.31297765485115364,0.4197886799626151,16,0.0,4.822986146741919,95.17701385325809
24,Hughes,1.0,171.0,214.0,333.0,1102.0,1820.0,0.34063066472779485,1.0010759227206785,1.2118785937841126,0.24938389505056713,894,9.395604395604396,30.054945054945055,60.54945054945055
25,Douglas,4.0,316.0,8.0,40.0,1416.0,1780.0,0.6294695324794326,0.03742339898021238,0.14557100225635053,0.32044246405771554,74,17.752808988764045,2.696629213483146,79.5505617977528
26,Bombardier,2.0,0.0,11.0,19.0,1730.0,1760.0,0.0,0.051457173597792026,0.0691462260717665,0.3915010330648647,49,0.0,1.7045454545454544,98.29545454545455
