,Make,Model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,counter,total_pop,fatality_perc,injury_perc,uninjured_perc
151,Cessna,340A,2.0,20.0,0.0,1.0,14.0,16,35.0,57.14285714285714,2.857142857142857,40.0
304,Robinson,R66,1.0,29.0,2.0,8.0,25.0,33,64.0,45.3125,15.625,39.0625
201,Ercoupe,415,1.0,1.0,3.0,7.0,7.0,12,18.0,5.555555555555555,55.55555555555556,38.88888888888889
140,Cessna,208,-99.0,42.0,8.0,22.0,45.0,19,117.0,35.8974358974359,25.64102564102564,38.46153846153847
49,Beech,V35,1.0,19.0,0.0,2.0,13.0,18,34.0,55.88235294117647,5.88235294117647,38.23529411764706
34,Beech,95-B55 (T42A),2.0,4.0,6.0,3.0,8.0,13,21.0,19.047619047619047,42.857142857142854,38.095238095238095
223,Mooney,M20F,1.0,15.0,2.0,6.0,14.0,19,37.0,40.54054054054054,21.62162162162162,37.83783783783784
176,Cessna,T210M,1.0,9.0,6.0,8.0,14.0,19,37.0,24.324324324324326,37.83783783783784,37.83783783783784
293,Piper,PA34,2.0,39.0,14.0,3.0,34.0,32,90.0,43.333333333333336,18.88888888888889,37.77777777777778
277,Piper,PA-46-310P,1.0,8.0,4.0,3.0,9.0,13,24.0,33.33333333333333,29.166666666666668,37.5
316,Taylorcraft,BC12-D,1.0,1.0,8.0,1.0,6.0,11,16.0,6.25,56.25,37.5
286,Piper,PA28R,-99.0,11.0,0.0,6.0,10.0,15,27.0,40.74074074074074,22.22222222222222,37.03703703703704
221,Mooney,M20C,1.0,15.0,14.0,16.0,26.0,42,71.0,21.12676056338028,42.25352112676056,36.61971830985916
123,Cessna,182G,1.0,6.0,9.0,1.0,9.0,12,25.0,24.0,40.0,36.0
46,Beech,F33A,1.0,8.0,9.0,3.0,11.0,19,31.0,25.806451612903224,38.70967741935484,35.483870967741936
172,Cessna,T206H,1.0,9.0,8.0,5.0,12.0,14,34.0,26.47058823529412,38.23529411764706,35.294117647058826
40,Beech,B200,2.0,17.0,15.0,3.0,19.0,10,54.0,31.48148148148148,33.33333333333333,35.18518518518518
203,Eurocopter,AS 350 B2,1.0,13.0,8.0,3.0,13.0,15,37.0,35.13513513513514,29.72972972972973,35.13513513513514
188,Champion,8KCAB,1.0,6.0,7.0,2.0,8.0,16,23.0,26.08695652173913,39.130434782608695,34.78260869565217
272,Piper,PA-32R-300,1.0,20.0,9.0,5.0,17.0,17,51.0,39.21568627450981,27.450980392156865,33.33333333333333
269,Piper,PA-32-260,1.0,29.0,5.0,6.0,20.0,22,60.0,48.333333333333336,18.333333333333332,33.33333333333333
254,Piper,PA-23-250,2.0,13.0,2.0,3.0,9.0,13,27.0,48.148148148148145,18.51851851851852,33.33333333333333
318,Vans,RV4,1.0,5.0,2.0,3.0,5.0,11,15.0,33.33333333333333,33.33333333333333,33.33333333333333
51,Bell,206,-99.0,53.0,7.0,19.0,39.0,50,118.0,44.91525423728814,22.033898305084744,33.05084745762712
162,Cessna,A185,-99.0,9.0,10.0,3.0,10.0,10,32.0,28.125,40.625,31.25
83,Cessna,150,-99.0,17.0,3.0,0.0,9.0,21,29.0,58.620689655172406,10.344827586206897,31.03448275862069
28,Beech,35,-99.0,9.0,5.0,4.0,8.0,11,26.0,34.61538461538461,34.61538461538461,30.76923076923077
245,Piper,PA 46 350P,1.0,13.0,4.0,1.0,8.0,10,26.0,50.0,19.230769230769234,30.76923076923077
43,Beech,C90,-99.0,24.0,0.0,1.0,11.0,11,36.0,66.66666666666666,2.7777777777777777,30.555555555555557
292,Piper,PA34,-99.0,8.0,3.0,3.0,6.0,14,20.0,40.0,30.0,30.0
156,Cessna,421C,2.0,33.0,5.0,0.0,16.0,21,54.0,61.111111111111114,9.25925925925926,29.629629629629626
180,Cessna,U206,-99.0,25.0,5.0,8.0,15.0,16,53.0,47.16981132075472,24.528301886792452,28.30188679245283
38,Beech,A36TC,1.0,20.0,10.0,3.0,13.0,17,46.0,43.47826086956522,28.26086956521739,28.26086956521739
145,Cessna,210L,1.0,7.0,11.0,3.0,8.0,10,29.0,24.137931034482758,48.275862068965516,27.586206896551722
97,Cessna,172,-99.0,70.0,10.0,12.0,35.0,73,127.0,55.118110236220474,17.322834645669293,27.559055118110237
153,Cessna,414,2.0,10.0,8.0,9.0,10.0,17,37.0,27.027027027027028,45.94594594594595,27.027027027027028
197,Diamond,DA 20-C1,1.0,2.0,5.0,4.0,4.0,10,15.0,13.333333333333334,60.0,26.666666666666668
36,Beech,A36,-99.0,14.0,3.0,7.0,8.0,14,32.0,43.75,31.25,25.0
303,Robinson,R66,-99.0,21.0,2.0,5.0,9.0,20,37.0,56.75675675675676,18.91891891891892,24.324324324324326
313,Socata,TBM 700,1.0,34.0,6.0,5.0,14.0,20,59.0,57.6271186440678,18.64406779661017,23.728813559322035
300,Robinson,R44,-99.0,82.0,13.0,25.0,37.0,75,157.0,52.22929936305732,24.203821656050955,23.56687898089172
41,Beech,B36TC,1.0,17.0,3.0,0.0,6.0,12,26.0,65.38461538461539,11.538461538461538,23.076923076923077
283,Piper,PA25,1.0,9.0,1.0,0.0,3.0,13,13.0,69.23076923076923,7.6923076923076925,23.076923076923077
297,Robinson,R22,-99.0,21.0,2.0,2.0,7.0,24,32.0,65.625,12.5,21.875
48,Beech,S35,1.0,13.0,3.0,4.0,5.0,13,25.0,52.0,28.000000000000004,20.0
11,Air Tractor,AT-802A,1.0,8.0,1.0,7.0,4.0,17,20.0,40.0,40.0,20.0
118,Cessna,182,-99.0,46.0,4.0,5.0,12.0,36,67.0,68.65671641791045,13.432835820895523,17.91044776119403
143,Cessna,210,-99.0,19.0,2.0,0.0,4.0,16,25.0,76.0,8.0,16.0
320,Vans,RV7,1.0,4.0,6.0,1.0,2.0,10,13.0,30.76923076923077,53.84615384615385,15.384615384615385
319,Vans,RV6,1.0,5.0,6.0,4.0,2.0,11,17.0,29.411764705882355,58.82352941176471,11.76470588235294
31,Beech,58,-99.0,30.0,1.0,3.0,4.0,13,38.0,78.94736842105263,10.526315789473683,10.526315789473683
282,Piper,PA25,-99.0,15.0,2.0,0.0,2.0,21,19.0,78.94736842105263,10.526315789473683,10.526315789473683
12,Air Tractor,AT502,-99.0,7.0,2.0,1.0,1.0,12,11.0,63.63636363636363,27.27272727272727,9.090909090909092
173,Cessna,T210,-99.0,17.0,9.0,3.0,0.0,10,29.0,58.620689655172406,41.37931034482759,0.0
