,Make,Model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,counter,total_pop,fatality_perc,injury_perc,uninjured_perc
175,Cessna,T210L,1.0,4.0,5.0,7.0,27.0,25,43.0,9.30232558139535,27.906976744186046,62.7906976744186
273,Piper,PA-32R-301,1.0,8.0,1.0,0.0,15.0,11,24.0,33.33333333333333,4.166666666666666,62.5
228,Mooney,M20TN,1.0,1.0,1.0,4.0,10.0,14,16.0,6.25,31.25,62.5
160,Cessna,560,2.0,10.0,1.0,1.0,20.0,11,32.0,31.25,6.25,62.5
261,Piper,PA-28-161,1.0,9.0,13.0,7.0,48.0,45,77.0,11.688311688311687,25.97402597402597,62.33766233766234
178,Cessna,TR182,1.0,8.0,3.0,3.0,23.0,20,37.0,21.62162162162162,16.216216216216218,62.16216216216216
198,Diamond,DA 40,1.0,6.0,3.0,5.0,23.0,20,37.0,16.216216216216218,21.62162162162162,62.16216216216216
218,Mcdonnell Douglas,369E,1.0,2.0,3.0,6.0,18.0,13,29.0,6.896551724137931,31.03448275862069,62.06896551724138
295,Piper,PA46,1.0,22.0,9.0,10.0,67.0,42,108.0,20.37037037037037,17.59259259259259,62.03703703703704
50,Beech,V35B,1.0,10.0,4.0,5.0,31.0,25,50.0,20.0,18.0,62.0
91,Cessna,152,-99.0,7.0,3.0,0.0,16.0,19,26.0,26.923076923076923,11.538461538461538,61.53846153846154
280,Piper,PA23,2.0,10.0,1.0,4.0,24.0,19,39.0,25.64102564102564,12.82051282051282,61.53846153846154
267,Piper,PA-30,2.0,16.0,5.0,6.0,43.0,32,70.0,22.857142857142858,15.714285714285714,61.42857142857143
268,Piper,PA-31-350,2.0,25.0,1.0,3.0,46.0,18,75.0,33.33333333333333,5.333333333333334,61.33333333333333
279,Piper,PA22,1.0,2.0,14.0,8.0,38.0,43,62.0,3.225806451612903,35.483870967741936,61.29032258064516
60,Bell,OH-58A,1.0,0.0,7.0,0.0,11.0,10,18.0,0.0,38.88888888888889,61.111111111111114
114,Cessna,177RG,1.0,8.0,12.0,5.0,39.0,34,64.0,12.5,26.5625,60.9375
80,Boeing,B75N1,1.0,2.0,5.0,2.0,14.0,15,23.0,8.695652173913043,30.434782608695656,60.86956521739131
210,Grumman,G164,1.0,2.0,5.0,2.0,14.0,22,23.0,8.695652173913043,30.434782608695656,60.86956521739131
287,Piper,PA28R,1.0,17.0,8.0,14.0,60.0,47,99.0,17.17171717171717,22.22222222222222,60.60606060606061
138,Cessna,207,1.0,12.0,1.0,5.0,27.0,17,45.0,26.666666666666668,13.333333333333334,60.0
133,Cessna,188,1.0,1.0,2.0,1.0,6.0,10,10.0,10.0,30.0,60.0
127,Cessna,182L,1.0,7.0,4.0,1.0,18.0,10,30.0,23.333333333333332,16.666666666666664,60.0
211,Hughes,269C,1.0,3.0,3.0,2.0,12.0,12,20.0,15.0,25.0,60.0
93,Cessna,162,1.0,2.0,6.0,4.0,18.0,23,30.0,6.666666666666667,33.33333333333333,60.0
310,Schweizer,SGS 2-33A,0.0,1.0,6.0,3.0,15.0,15,25.0,4.0,36.0,60.0
243,Piper,PA 30,2.0,6.0,3.0,5.0,21.0,19,35.0,17.142857142857142,22.857142857142858,60.0
0,Aeronca,11AC,1.0,4.0,6.0,3.0,19.0,21,32.0,12.5,28.125,59.375
270,Piper,PA-32-300,1.0,6.0,6.0,12.0,35.0,23,59.0,10.16949152542373,30.508474576271187,59.32203389830508
174,Cessna,T210,1.0,8.0,7.0,7.0,32.0,30,54.0,14.814814814814813,25.925925925925924,59.25925925925925
42,Beech,C23,1.0,11.0,7.0,2.0,29.0,29,49.0,22.448979591836736,18.367346938775512,59.183673469387756
281,Piper,PA24,1.0,13.0,10.0,4.0,39.0,36,66.0,19.696969696969695,21.21212121212121,59.09090909090909
181,Cessna,U206,1.0,6.0,12.0,5.0,33.0,26,56.0,10.714285714285714,30.357142857142854,58.92857142857143
84,Cessna,150,1.0,38.0,14.0,20.0,103.0,122,175.0,21.714285714285715,19.428571428571427,58.857142857142854
106,Cessna,172N,1.0,40.0,33.0,12.0,120.0,114,205.0,19.51219512195122,21.951219512195124,58.536585365853654
187,Champion,8GCBC,1.0,2.0,6.0,2.0,14.0,18,24.0,8.333333333333332,33.33333333333333,58.333333333333336
209,Grumman,G-164B,1.0,0.0,4.0,1.0,7.0,12,12.0,0.0,41.66666666666667,58.333333333333336
144,Cessna,210,1.0,30.0,11.0,8.0,67.0,59,116.0,25.862068965517242,16.379310344827587,57.758620689655174
288,Piper,PA31,2.0,15.0,6.0,5.0,35.0,19,61.0,24.59016393442623,18.0327868852459,57.377049180327866
29,Beech,35,1.0,5.0,16.0,9.0,40.0,34,70.0,7.142857142857142,35.714285714285715,57.14285714285714
24,Aviat,A1,1.0,1.0,7.0,1.0,12.0,16,21.0,4.761904761904762,38.095238095238095,57.14285714285714
25,Ayres,S2R,1.0,5.0,1.0,0.0,8.0,15,14.0,35.714285714285715,7.142857142857142,57.14285714285714
22,Aviat,A-1C-180,1.0,3.0,4.0,2.0,12.0,16,21.0,14.285714285714285,28.57142857142857,57.14285714285714
126,Cessna,182K,1.0,3.0,5.0,1.0,12.0,10,21.0,14.285714285714285,28.57142857142857,57.14285714285714
154,Cessna,421,2.0,7.0,8.0,0.0,20.0,16,35.0,20.0,22.857142857142858,57.14285714285714
207,Flight Design Gmbh,CTSW,1.0,2.0,3.0,1.0,8.0,10,14.0,14.285714285714285,28.57142857142857,57.14285714285714
45,Beech,F33,1.0,10.0,0.0,0.0,13.0,10,23.0,43.47826086956522,0.0,56.52173913043478
119,Cessna,182,1.0,80.0,65.0,27.0,221.0,204,393.0,20.35623409669211,23.40966921119593,56.234096692111954
89,Cessna,150L,1.0,11.0,9.0,5.0,32.0,37,57.0,19.298245614035086,24.561403508771928,56.14035087719298
111,Cessna,175,1.0,7.0,9.0,6.0,28.0,26,50.0,14.000000000000002,30.0,56.00000000000001
137,Cessna,206,1.0,4.0,6.0,1.0,14.0,11,25.0,16.0,28.000000000000004,56.00000000000001
302,Robinson,R44 II,1.0,41.0,55.0,28.0,157.0,134,281.0,14.590747330960854,29.537366548042705,55.871886120996436
1,Aeronca,7AC,1.0,13.0,16.0,6.0,44.0,55,79.0,16.455696202531644,27.848101265822784,55.69620253164557
314,Stinson,108,1.0,4.0,22.0,10.0,45.0,47,81.0,4.938271604938271,39.50617283950617,55.55555555555556
274,Piper,PA-34-200T,2.0,6.0,2.0,0.0,10.0,12,18.0,33.33333333333333,11.11111111111111,55.55555555555556
150,Cessna,340,2.0,16.0,0.0,0.0,20.0,15,36.0,44.44444444444444,0.0,55.55555555555556
241,Piper,PA 28-181,1.0,5.0,6.0,9.0,25.0,21,45.0,11.11111111111111,33.33333333333333,55.55555555555556
128,Cessna,182P,1.0,12.0,11.0,15.0,47.0,42,85.0,14.117647058823529,30.58823529411765,55.294117647058826
285,Piper,PA28,1.0,83.0,56.0,40.0,220.0,223,399.0,20.80200501253133,24.06015037593985,55.13784461152882
59,Bell,OH 58A,1.0,0.0,9.0,0.0,11.0,11,20.0,0.0,45.0,55.00000000000001
105,Cessna,172M,1.0,34.0,23.0,22.0,96.0,101,175.0,19.428571428571427,25.71428571428571,54.85714285714286
155,Cessna,421B,2.0,5.0,5.0,4.0,17.0,11,31.0,16.129032258064516,29.03225806451613,54.83870967741935
61,Bellanca,17-30A,1.0,4.0,3.0,7.0,17.0,19,31.0,12.903225806451612,32.25806451612903,54.83870967741935
149,Cessna,310R,2.0,13.0,0.0,2.0,18.0,16,33.0,39.39393939393939,6.0606060606060606,54.54545454545454
179,Cessna,TU206,1.0,8.0,2.0,6.0,19.0,11,35.0,22.857142857142858,22.857142857142858,54.285714285714285
214,Luscombe,8,1.0,6.0,16.0,5.0,32.0,44,59.0,10.16949152542373,35.59322033898305,54.23728813559322
14,Air Tractor,AT802,1.0,2.0,1.0,3.0,7.0,12,13.0,15.384615384615385,30.76923076923077,53.84615384615385
56,Bell,407,-99.0,17.0,2.0,7.0,30.0,20,56.0,30.357142857142854,16.071428571428573,53.57142857142857
166,Cessna,A188B,1.0,2.0,3.0,2.0,8.0,16,15.0,13.333333333333334,33.33333333333333,53.333333333333336
202,Ercoupe,415-C,1.0,1.0,5.0,1.0,8.0,10,15.0,6.666666666666667,40.0,53.333333333333336
100,Cessna,172F,1.0,3.0,7.0,4.0,16.0,20,30.0,10.0,36.666666666666664,53.333333333333336
235,Piper,PA 24-250,1.0,6.0,3.0,6.0,17.0,15,32.0,18.75,28.125,53.125
242,Piper,PA 28R-200,1.0,4.0,9.0,2.0,17.0,13,32.0,12.5,34.375,53.125
