,Make,Model,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,counter,total_pop,fatality_perc,injury_perc,uninjured_perc,counter_pop
135,Cessna,195A,1.0,1.0,2.0,0.0,18.0,10,21.0,4.761904761904762,9.523809523809524,85.71428571428571,2.1
136,Cessna,206,-99.0,7.0,0.0,2.0,22.0,11,31.0,22.58064516129032,6.451612903225806,70.96774193548387,2.8181818181818183
137,Cessna,206,1.0,4.0,6.0,1.0,14.0,11,25.0,16.0,28.000000000000004,56.00000000000001,2.272727272727273
138,Cessna,207,1.0,12.0,1.0,5.0,27.0,17,45.0,26.666666666666668,13.333333333333334,60.0,2.6470588235294117
139,Cessna,207A,1.0,2.0,8.0,4.0,24.0,12,38.0,5.263157894736842,31.57894736842105,63.1578947368421,3.1666666666666665
140,Cessna,208,-99.0,42.0,8.0,22.0,45.0,19,117.0,35.8974358974359,25.64102564102564,38.46153846153847,6.157894736842105
141,Cessna,208,1.0,33.0,12.0,15.0,124.0,40,184.0,17.934782608695652,14.673913043478262,67.3913043478261,4.6
142,Cessna,208B,1.0,25.0,18.0,19.0,123.0,45,185.0,13.513513513513514,20.0,66.48648648648648,4.111111111111111
145,Cessna,210L,1.0,7.0,11.0,3.0,8.0,10,29.0,24.137931034482758,48.275862068965516,27.586206896551722,2.9
149,Cessna,310R,2.0,13.0,0.0,2.0,18.0,16,33.0,39.39393939393939,6.0606060606060606,54.54545454545454,2.0625
150,Cessna,340,2.0,16.0,0.0,0.0,20.0,15,36.0,44.44444444444444,0.0,55.55555555555556,2.4
151,Cessna,340A,2.0,20.0,0.0,1.0,14.0,16,35.0,57.14285714285714,2.857142857142857,40.0,2.1875
152,Cessna,402,2.0,0.0,7.0,0.0,48.0,17,55.0,0.0,12.727272727272727,87.27272727272727,3.235294117647059
153,Cessna,414,2.0,10.0,8.0,9.0,10.0,17,37.0,27.027027027027028,45.94594594594595,27.027027027027028,2.176470588235294
154,Cessna,421,2.0,7.0,8.0,0.0,20.0,16,35.0,20.0,22.857142857142858,57.14285714285714,2.1875
